,secid,cname,cname_norm,nn_match,nn_score,nn_gvkey,nn_coname
0,8713,STANDARD MICROSYSTEMS CORP,standardmicrosystems,standardmicrosystems,100,9999.0,STANDARD MICROSYSTEMS CORP
1,5792,LUBRIZOL CORP,lubrizol,lubrizol,100,6830.0,LUBRIZOL CORP
2,7629,PROGRESS SOFTWARE CORP,progresssoftware,progresssoftware,100,24352.0,PROGRESS SOFTWARE CORP
3,9383,WENDY S ARBY S GROUP INC,wendysarbysgroup,wecenergygroup,67,11550.0,WEC ENERGY GROUP INC
4,2429,ARTESYN TECHNOLOGIES INC,artesyntechnologies,artesyntechnologies,100,3333.0,ARTESYN TECHNOLOGIES INC
5,7040,OSTEOTECH INC,osteotech,osteotech,100,24198.0,OSTEOTECH INC
6,2149,CHURCH & DWIGHT CO INC,churchdwightcompany,churchdwight,77,3026.0,CHURCH & DWIGHT INC
7,6094,MEDICIS PHARMACEUTICAL CORP,medicispharmaceutical,medicispharmaceutcp,90,21186.0,MEDICIS PHARMACEUT CP  -CL A
8,9429,TUPPERWARE BRANDS CORP,tupperwarebrands,tupperwarebrands,100,62897.0,TUPPERWARE BRANDS CORP
9,4891,ITT CORP,itt,itt,100,,
10,7828,RAYONIER INC,rayonier,rayonier,100,5862.0,RAYONIER INC
11,1686,CSG SYSTEMS INTERNATIONAL INC,csgsystemsinternational,analystsinternational,77,1634.0,ANALYSTS INTERNATIONAL CORP
12,19079,SONIC AUTOMOTIVE INC,sonicautomotive,sonicautomotiveinc,91,65831.0,SONIC AUTOMOTIVE INC  -CL A
13,8744,STARWOOD HOTELS & RESORTS WORLDWIDE INC,starwoodhotelsresortsworldwide,starwoodhotelsresortswrld,91,5723.0,STARWOOD HOTELS&RESORTS WRLD
14,4657,HERSHEY CO,hersheycompany,hersheycompany,100,5597.0,HERSHEY CO
15,9451,GRAFTECH INTERNATIONAL LTD,graftechinternational,graftechinternational,100,61153.0,GRAFTECH INTERNATIONAL LTD
16,5615,ESTEE LAUDER COS INC,esteelaudercos,esteelaudercompanies,82,61567.0,ESTEE LAUDER COMPANIES INC
17,7929,AUTONATION INC DE,autonationincde,autonation,80,9063.0,AUTONATION INC
18,1467,BORGWARNER INC,borgwarner,borgwarner,100,28742.0,BORGWARNER INC
19,178,A S V INC,asv,asv,100,30584.0,A S V INC
20,2668,CRYOLIFE INC,cryolife,chrysler,62,3022.0,CHRYSLER CORP
21,7625,PRGX GLOBAL INC,prgxglobal,prgxglobal,100,62494.0,PRGX GLOBAL INC
22,3009,DOLLAR TREE INC,dollartree,dollartree,100,31587.0,DOLLAR TREE INC
23,9113,TELLABS INC,tellabs,tellabs,100,10420.0,TELLABS INC
24,9218,3D SYSTEMS CORP,3dsystems,3dsystems,100,14898.0,3D SYSTEMS CORP
25,247,ACTEL CORP,actel,actel,100,28678.0,ACTEL CORP
26,19726,MERCURY SYSTEMS INC,mercurysystems,mercurysystems,100,66393.0,MERCURY SYSTEMS INC
27,10496,MARTIN MARIETTA MATERIALS INC,martinmariettamaterials,martinmariettamaterials,100,29733.0,MARTIN MARIETTA MATERIALS
28,2065,CHARMING SHOPPES INC,charmingshoppes,charmingshoppes,100,2938.0,CHARMING SHOPPES INC
29,7217,PARKER HANNIFIN CORP,parkerhannifin,parkerhannifin,100,8358.0,PARKER-HANNIFIN CORP
30,2871,DELL INC,dell,deluxe,60,3863.0,DELUXE CORP
31,2794,DARDEN RESTAURANTS INC,dardenrestaurants,dardenrestaurants,100,31846.0,DARDEN RESTAURANTS INC
32,24330,F5 NETWORKS INC,f5networks,baynetworks,76,24357.0,BAY NETWORKS INC
33,1212,BARNES & NOBLE INC,barnesnoble,barnesnoble,100,28924.0,BARNES & NOBLE INC
34,6753,NORDSON CORP,nordson,nordson,100,7921.0,NORDSON CORP
35,18921,OSI SYSTEMS INC,osisystems,osisystems,100,65607.0,OSI SYSTEMS INC
36,787,ANN INC,ann,ann,100,21828.0,ANN INC
37,9281,DAVITA HEALTHCARE PARTNERS INC,davitahealthcarepartners,acadiahealthcarecompany,68,192255.0,ACADIA HEALTHCARE CO INC
38,6160,MERISEL INC,merisel,merisel,100,14895.0,MERISEL INC
39,12514,POLO RALPH LAUREN CORP,poloralphlauren,ralphlauren,85,64891.0,RALPH LAUREN CORP
40,7013,O REILLY AUTOMOTIVE INC,oreillyautomotive,oreillyautomotive,100,28180.0,O'REILLY AUTOMOTIVE INC
41,24751,INTERNAP NETWORK SERVICES CORP,internapnetworkservices,pioneerenergyservices,68,9835.0,PIONEER ENERGY SERVICES CORP
42,3236,ELKCORP,elkcorp,elkcorp,100,4251.0,ELKCORP
43,6401,MONRO MUFFLER BRAKE INC,monromufflerbrake,monsterbeverage,56,24316.0,MONSTER BEVERAGE CORP
44,25571,KRISPY KREME DOUGHNUTS INC,krispykremedoughnuts,krispykreme,71,133767.0,KRISPY KREME INC
45,8474,SIMPSON MANUFACTURING CO INC,simpsonmanufacturingcompany,modinemanufacturingcompany,87,7486.0,MODINE MANUFACTURING CO
46,3261,ELECTRONICS FOR IMAGING INC,electronicsforimaging,electronicsforimaging,100,25774.0,ELECTRONICS FOR IMAGING INC
47,4922,IMMUCOR INC,immucor,immucor,100,11914.0,IMMUCOR INC
48,1499,BRADLEY PHARMACEUTICALS INC,bradleypharmaceuticals,bradleypharmaceuticl,95,24689.0,BRADLEY PHARMACEUTICL  -CL A
49,6706,NEWELL RUBBERMAID INC,newellrubbermaid,rubbermaid,77,9280.0,RUBBERMAID INC
50,25866,CALIFORNIA PIZZA KITCHEN INC,californiapizzakitchen,californiapizzakitchen,100,138321.0,CALIFORNIA PIZZA KITCHEN INC
51,8718,STANDEX INTERNATIONAL CORP,standexinternational,standexinternational,100,10008.0,STANDEX INTERNATIONAL CORP
52,26331,MONSANTO CO NEW,monsantoconew,monsantocompany,79,140760.0,MONSANTO CO
53,7047,OUTBACK STEAKHOUSE INC,outbacksteakhouse,lonestarsteakhousesaloon,63,25025.0,LONE STAR STEAKHOUSE SALOON
54,24553,LENNOX INTERNATIONAL INC,lennoxinternational,lennoxinternational,100,122380.0,LENNOX INTERNATIONAL INC
55,23392,BLUCORA INC,blucora,blucora,100,116772.0,BLUCORA INC
56,2360,COMMONWEALTH INDUSTRIES INC DE,commonwealthindustriesincde,commonwealthindustries,90,31600.0,COMMONWEALTH INDUSTRIES INC
57,9141,TEREX CORP,terex,aeroflex,62,1056.0,AEROFLEX INC
58,5694,LIFECELL CORP,lifecell,lifecell,100,24982.0,LIFECELL CORP
59,3059,E I DU PONT DE NEMOURS & CO,eidupontdenemourscompany,dupontdenemours,77,4060.0,DUPONT DE NEMOURS INC
60,11920,GUITAR CENTER INC,guitarcenter,guitarcenter,100,64486.0,GUITAR CENTER INC
61,1026,AUTOZONE INC,autozone,autozone,100,23809.0,AUTOZONE INC
62,4749,HORMEL FOODS CORP,hormelfoods,hormelfoods,100,5709.0,HORMEL FOODS CORP
63,25870,SPARTAN STORES INC,spartanstores,stagestores,75,63874.0,STAGE STORES INC
64,23629,MANNATECH INC,mannatech,mannatech,100,112968.0,MANNATECH INC
65,4664,HI TECH PHARMACAL CO INC,hitechpharmacalcompany,hitechpharmacalcompany,100,25623.0,HI TECH PHARMACAL CO INC
66,25925,MEDICINES CO,medicinescompany,americanstorescompany,76,1573.0,AMERICAN STORES CO
67,22896,ELECTRONICS BOUTIQUE HOLDINGS CORP,electronicsboutiqueholdings,electronicsboutiquehldgcp,88,112775.0,ELECTRONICS BOUTIQUE HLDG CP
68,27076,JOY GLOBAL INC,joyglobal,joyglobal,100,13003.0,JOY GLOBAL INC
69,6116,MEDTRONIC INC,medtronic,medtronic,100,7228.0,MEDTRONIC PLC
70,27299,AMN HEALTHCARE SERVICES INC,amnhealthcareservices,amnhealthcareservices,100,144520.0,AMN HEALTHCARE SERVICES INC
71,10139,WOODWARD INC,woodward,woodward,100,11580.0,WOODWARD INC
72,24988,AGILENT TECHNOLOGIES INC,agilenttechnologies,agilenttechnologies,100,126554.0,AGILENT TECHNOLOGIES INC
73,5358,JUNO LIGHTING INC,junolighting,junolighting,100,6297.0,JUNO LIGHTING INC
74,947,ASTEC INDUSTRIES INC,astecindustries,astecindustries,100,12262.0,ASTEC INDUSTRIES INC
75,18993,ATMI INC,atmi,atmi,100,29274.0,ATMI INC
76,2031,CERNER CORP,cerner,cerner,100,12850.0,CERNER CORP
77,5158,INTERNATIONAL FLAVORS & FRAGRANCES INC,internationalflavorsfragrances,intlflavorsfragrances,82,6078.0,INTL FLAVORS & FRAGRANCES
78,5646,LEGGETT & PLATT INC,leggettplatt,leggettplatt,100,6649.0,LEGGETT & PLATT INC
79,6874,OM GROUP INC,omgroup,omgroup,100,29001.0,OM GROUP INC
80,6001,MATERIAL SCIENCES CORP,materialsciences,materialsciences,100,7107.0,MATERIAL SCIENCES CORP
81,923,ASHLAND INC NEW,ashlandincnew,atlanticenergy,59,1843.0,ATLANTIC ENERGY INC
82,7988,RIGHT MANAGEMENT CONSULTANTS INC,rightmanagementconsultants,wastemanagementincold,60,11306.0,WASTE MANAGEMENT INC-OLD
83,9275,TORO CO,torocompany,torocompany,100,10618.0,TORO CO
84,6729,99 CENTS ONLY STORES,99centsonlystores,factory2ustores,62,13842.0,FACTORY 2-U STORES INC
85,27488,MEADWESTVACO CORP,meadwestvaco,meadwestvaco,100,11446.0,MEADWESTVACO CORP
